ID,category,dataset_ai_match_score,dataset_skill_match_score,dataset_fuzzy_match_score,our_resume_score,profile_type,content_impact,structure,skills,projects_experience,education,formatting,contact,resume_word_count,job_category
27018550,HR,32.63,8.33,52.95,39,experienced,4,18,0,7,4,6,0,379,HR
20417897,HR,84.63,16.67,58.04,51,experienced,9,18,0,9,8,7,0,676,HR
28175164,HR,100.0,33.33,71.21,60,experienced,17,20,0,13,4,6,0,910,HR
78149576,DESIGNER,5.18,5.71,44.0,35,experienced,3,18,0,5,5,4,0,134,DESIGNER
27529455,DESIGNER,17.59,8.57,52.7,42,experienced,3,18,0,6,10,5,0,1065,DESIGNER
37664296,DESIGNER,69.55,20.0,65.57,62,experienced,16,18,2,13,8,5,0,1449,DESIGNER
12334140,INFORMATION-TECHNOLOGY,4.9,4.35,51.73,41,experienced,6,18,0,6,7,4,0,2044,INFORMATION-TECHNOLOGY
64017585,INFORMATION-TECHNOLOGY,70.68,13.04,60.14,48,experienced,9,18,2,8,5,6,0,419,INFORMATION-TECHNOLOGY
18067556,INFORMATION-TECHNOLOGY,97.85,26.09,56.84,73,experienced,23,18,4,15,8,5,0,2670,INFORMATION-TECHNOLOGY
51209395,TEACHER,8.24,3.12,39.64,30,fresher,2,18,0,0,5,5,0,183,TEACHER
19464810,TEACHER,46.32,3.12,52.95,39,experienced,2,18,0,5,8,6,0,887,TEACHER
16210888,TEACHER,89.46,28.12,68.06,39,experienced,2,18,0,5,8,6,0,728,TEACHER
49475708,ADVOCATE,11.02,3.03,45.24,36,experienced,3,18,0,5,4,6,0,884,ADVOCATE
20138606,ADVOCATE,25.57,6.06,55.43,40,experienced,3,18,0,6,8,5,0,958,ADVOCATE
74126637,ADVOCATE,58.07,6.06,57.02,45,experienced,5,18,0,7,8,7,0,692,ADVOCATE
12632728,BUSINESS-DEVELOPMENT,0.0,10.0,50.7,0,unknown,0,0,0,0,0,0,0,0,BUSINESS-DEVELOPMENT
39875803,BUSINESS-DEVELOPMENT,71.48,33.33,68.39,22,fresher,0,10,0,0,8,4,0,777,BUSINESS-DEVELOPMENT
12230301,BUSINESS-DEVELOPMENT,100.0,26.67,64.13,56,experienced,20,18,0,9,4,5,0,1605,BUSINESS-DEVELOPMENT
19090468,HEALTHCARE,0.0,6.98,50.56,48,experienced,4,20,2,7,8,7,0,864,HEALTHCARE
20211577,HEALTHCARE,16.77,2.33,38.52,36,experienced,2,18,0,5,5,6,0,752,HEALTHCARE
16356151,HEALTHCARE,60.74,13.95,61.87,41,experienced,3,18,0,6,10,4,0,1284,HEALTHCARE
22488036,FITNESS,8.63,7.89,50.08,56,experienced,9,18,4,9,10,6,0,745,FITNESS
12695799,FITNESS,37.26,10.53,53.07,47,experienced,8,18,0,9,5,7,0,639,FITNESS
13675377,FITNESS,88.29,15.79,55.8,58,experienced,16,18,0,13,5,6,0,666,FITNESS
16849128,AGRICULTURE,7.31,3.85,47.32,36,experienced,2,18,0,5,5,6,0,308,AGRICULTURE
69336473,AGRICULTURE,18.49,7.69,50.16,44,experienced,5,18,0,7,8,6,0,862,AGRICULTURE
16661264,AGRICULTURE,53.97,5.77,49.61,48,experienced,9,18,0,8,8,5,0,1644,AGRICULTURE
15145575,BPO,27.94,3.57,54.46,39,experienced,2,20,0,5,5,7,0,829,BPO
26829350,BPO,51.26,3.57,55.17,50,experienced,8,18,0,10,8,6,0,1053,BPO
24727739,BPO,80.62,17.86,62.51,45,experienced,18,11,0,13,0,3,0,922,BPO
14381464,SALES,0.0,4.17,43.7,34,experienced,3,18,0,5,4,4,0,128,SALES
19156751,SALES,20.23,0.0,56.69,49,experienced,8,18,0,9,8,6,0,846,SALES
26425074,SALES,95.28,25.0,67.22,57,experienced,13,18,0,11,8,7,0,759,SALES
16964217,CONSULTANT,6.15,5.26,50.05,46,experienced,8,18,0,10,4,6,0,775,CONSULTANT
28951817,CONSULTANT,45.04,5.26,64.85,45,experienced,4,18,2,7,8,6,0,799,CONSULTANT
12897903,CONSULTANT,82.06,15.79,66.17,50,experienced,9,18,0,9,8,6,0,757,CONSULTANT
14036515,DIGITAL-MEDIA,18.15,18.75,55.65,35,experienced,2,18,0,5,4,6,0,655,DIGITAL-MEDIA
22706174,DIGITAL-MEDIA,51.0,12.5,63.65,53,experienced,11,18,0,9,8,7,0,695,DIGITAL-MEDIA
94492380,DIGITAL-MEDIA,86.81,21.88,68.0,57,experienced,17,11,0,15,8,6,0,783,DIGITAL-MEDIA
22946204,AUTOMOBILE,8.49,5.56,50.04,58,experienced,12,18,6,7,8,7,0,738,AUTOMOBILE
23009962,AUTOMOBILE,21.92,13.89,51.46,64,experienced,13,20,0,14,8,9,0,683,AUTOMOBILE
22452756,AUTOMOBILE,76.96,11.11,55.29,22,fresher,0,10,2,0,4,4,2,804,AUTOMOBILE
28176889,CHEF,16.74,10.71,59.73,40,experienced,3,20,0,6,4,7,0,405,CHEF
15354126,CHEF,79.29,14.29,61.4,40,experienced,4,18,0,7,5,6,0,696,CHEF
20321582,CHEF,100.0,14.29,62.68,51,experienced,8,20,0,9,7,7,0,844,CHEF
20836112,FINANCE,8.32,8.82,53.93,43,experienced,4,18,0,7,8,6,0,477,FINANCE
18072085,FINANCE,57.87,14.71,59.38,29,experienced,4,11,2,7,0,3,2,902,FINANCE
84356308,FINANCE,92.24,32.35,68.82,41,experienced,3,20,0,5,8,5,0,1281,FINANCE
32802563,ENGINEERING,0.0,2.5,51.23,41,experienced,2,18,0,5,10,6,0,790,ENGINEERING
28631840,ENGINEERING,19.59,10.0,62.04,61,experienced,19,13,0,14,8,7,0,699,ENGINEERING
31684925,ENGINEERING,44.49,7.5,51.49,49,experienced,7,18,0,7,10,7,0,816,ENGINEERING
24799301,ACCOUNTANT,8.77,3.12,57.78,37,experienced,2,18,0,5,8,4,0,143,ACCOUNTANT
12338274,ACCOUNTANT,32.53,9.38,56.5,37,experienced,2,18,0,5,5,7,0,810,ACCOUNTANT
19446337,ACCOUNTANT,72.44,0.0,59.27,47,experienced,4,18,0,8,10,7,0,747,ACCOUNTANT
99433371,CONSTRUCTION,0.0,0.0,40.74,39,experienced,3,18,0,5,8,5,0,214,CONSTRUCTION
16626724,CONSTRUCTION,51.46,15.79,65.25,51,experienced,7,20,0,7,8,9,0,470,CONSTRUCTION
32773331,CONSTRUCTION,85.1,10.53,61.07,52,experienced,10,20,0,8,5,9,0,892,CONSTRUCTION
24590489,PUBLIC-RELATIONS,18.64,8.33,53.37,55,experienced,14,18,0,13,5,5,0,1048,PUBLIC-RELATIONS
37913536,PUBLIC-RELATIONS,70.54,12.5,62.68,39,experienced,2,18,0,5,8,6,0,772,PUBLIC-RELATIONS
49119887,PUBLIC-RELATIONS,96.49,16.67,63.76,40,experienced,9,11,0,8,8,4,0,604,PUBLIC-RELATIONS
39247950,BANKING,0.0,6.67,47.63,72,experienced,16,20,7,12,8,9,0,763,BANKING
18172739,BANKING,49.32,16.67,60.54,41,experienced,3,18,0,6,8,6,0,404,BANKING
87867370,BANKING,90.98,10.0,51.27,55,experienced,16,18,0,12,5,4,0,1285,BANKING
26069113,ARTS,0.0,6.9,47.85,53,experienced,10,18,2,9,8,6,0,688,ARTS
25926667,ARTS,29.97,10.34,53.4,60,experienced,13,18,0,14,8,7,0,784,ARTS
36379931,ARTS,72.64,3.45,49.28,49,experienced,6,18,0,8,10,7,0,768,ARTS
96457008,AVIATION,1.48,6.06,42.73,38,experienced,2,20,0,5,5,6,0,223,AVIATION
20026169,AVIATION,37.97,12.12,56.29,45,experienced,2,18,2,7,10,6,0,948,AVIATION
12043694,AVIATION,79.32,15.15,56.81,52,experienced,6,20,0,10,8,8,0,1042,AVIATION
26835781,AGRICULTURE,19.13,5.77,40.54,40,experienced,2,18,0,5,8,5,2,1005,AGRICULTURE
12059198,BUSINESS-DEVELOPMENT,55.11,26.67,68.83,61,experienced,16,18,0,13,8,6,0,417,BUSINESS-DEVELOPMENT
10399912,HR,43.81,12.5,58.37,49,experienced,4,20,0,8,8,9,0,720,HR
29165698,FITNESS,26.76,13.16,60.07,44,experienced,7,18,0,8,5,6,0,356,FITNESS
37764298,INFORMATION-TECHNOLOGY,57.81,8.7,49.79,45,experienced,6,18,2,8,5,6,0,872,INFORMATION-TECHNOLOGY
23577836,ADVOCATE,18.3,3.03,50.54,38,experienced,2,18,0,5,8,5,0,1118,ADVOCATE
99416532,AVIATION,46.84,12.12,57.82,47,experienced,6,18,0,9,8,6,0,752,AVIATION
16300459,BANKING,62.35,13.33,58.06,53,experienced,9,18,2,8,10,6,0,652,BANKING
12547982,DESIGNER,14.01,2.86,50.64,39,fresher,7,18,0,1,8,5,0,1099,DESIGNER
12011623,ENGINEERING,18.58,7.5,54.22,68,experienced,19,18,6,9,8,8,0,915,ENGINEERING
11188218,ADVOCATE,29.24,6.06,53.29,43,experienced,3,18,0,6,10,6,0,812,ADVOCATE
83206166,ARTS,51.06,13.79,59.29,43,experienced,4,18,0,7,8,6,0,603,ARTS
31392754,PUBLIC-RELATIONS,29.86,16.67,56.91,38,experienced,3,18,0,6,5,6,0,835,PUBLIC-RELATIONS
13264796,ENGINEERING,23.72,12.5,58.06,67,experienced,21,18,0,15,8,5,0,2579,ENGINEERING
29797594,TEACHER,64.04,18.75,65.35,43,experienced,3,18,2,6,8,6,0,789,TEACHER
14014749,DESIGNER,17.21,11.43,50.91,34,experienced,3,11,0,6,10,4,0,826,DESIGNER
19053815,DIGITAL-MEDIA,55.24,15.62,57.56,45,experienced,6,18,0,8,8,5,0,943,DIGITAL-MEDIA
26780935,HR,79.74,8.33,58.55,58,experienced,12,18,0,12,10,6,0,581,HR
20478831,TEACHER,41.36,18.75,57.43,39,experienced,2,18,0,5,8,6,0,692,TEACHER
18368613,SALES,70.04,8.33,54.95,48,experienced,9,18,0,10,5,6,0,322,SALES
38847011,ACCOUNTANT,46.82,15.62,58.86,51,experienced,11,18,0,11,5,6,0,885,ACCOUNTANT
14569498,CHEF,82.84,17.86,68.06,36,experienced,2,18,0,5,5,6,0,461,CHEF
14879257,ARTS,35.67,6.9,51.08,44,experienced,5,18,0,7,8,6,0,660,ARTS
22450718,INFORMATION-TECHNOLOGY,83.55,4.35,51.45,64,experienced,16,18,2,13,10,5,0,995,INFORMATION-TECHNOLOGY
37374340,HEALTHCARE,23.34,4.65,52.3,47,experienced,7,18,0,8,8,6,0,602,HEALTHCARE
18090899,ADVOCATE,23.15,6.06,55.01,57,experienced,16,18,0,8,8,7,0,837,ADVOCATE
29147100,DESIGNER,23.42,5.71,45.77,42,experienced,4,18,0,7,8,5,0,247,DESIGNER
34689720,TEACHER,36.14,15.62,62.03,58,experienced,14,18,0,12,8,6,0,754,TEACHER
